,title,year,critics_count,critics_score,audience_count,audience_score,suppliers_list,rottentomatoes_year,rottentomatoes_genre,rottentomatoes_length,infobox
3650,Ma Ma,2015,44 Reviews,25,250+ Ratings,46,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Drama, 1h 51m,"{'Directed by': ['Julio Medem', '', ''], 'Written by': ['Julio Medem', '', ''], 'Starring': ['Penélope Cruz', '', ''], 'Cinematography': ['Kiko de la Rica', '', ''], 'Music by': ['Alberto Iglesias', '', ''], 'Production companies': ['Mare Nostrum Productions Morena Films', ''], 'Distributed by': ['Entertainment One Films', '', ''], 'Release date': ['11\xa0September\xa02015', '\n \n', ''], 'Running time': ['111 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', '']}"
3651,A Perfect Day,2015,59 Reviews,71,"1,000+ Ratings",56,"[('amazon-prime-video-us', 'Buy'), ('itunes', 'Rent/buy')]",2015, Comedy/Drama, 1h 46m,"{'Directed by': ['Fernando León de Aranoa', '', ''], 'Written by': ['Fernando León de Aranoa', '', ''], 'Based on': ['by Paula Farias', '', ''], 'Produced by': ['Fernando Leon de Aranoa', 'Jaume Roures', '', ''], 'Starring': ['Olga Kurylenko', 'Benicio del Toro', 'Tim Robbins', 'Mélanie Thierry', '', ''], 'Cinematography': ['Alex Catalán', '', ''], 'Edited by': ['Nacho Ruiz Capillas', '', ''], 'Music by': ['Arnau Bataller', '', ''], 'Production companies': ['Reposado Producciones', 'Mediapro TVE'], 'Distributed by': ['Universal Pictures', '', ''], 'Release dates': ['16\xa0May\xa02015', ' (', ')', '26\xa0August\xa02015', ' (Spain)', 'Cannes', '\n \n', ''], 'Running time': ['106 minutes', '', ''], 'Country': ['Spain', '', ''], 'Languages': ['English', 'Croatian', 'Spanish', 'Romanian', '', '']}"
3652,My Big Night,2015,21 Reviews,90,100+ Ratings,61,"[('vudu', 'Rent/buy')]",2015, Comedy, 1h 38m,"{'Spanish': ['', ''], 'Directed by': ['Álex de la Iglesia', '', ''], 'Written by': ['Álex de la Iglesia', 'Jorge Guerricaechevarría', '', ''], 'Produced by': ['Enrique Cerezo', '', ''], 'Starring': ['Raphael', 'Mario Casas', 'Blanca Suárez', 'Pepón Nieto', '', ''], 'Cinematography': ['Ángel Amorós', '', ''], 'Music by': ['Joan Valent', '', ''], 'Production companies': ['', '', 'Enrique Cerezo PC', 'Telefónica Studios'], 'Distributed by': ['Universal Pictures', '', ''], 'Release dates': ['11\xa0September\xa02015', ' (', ')', '23\xa0October\xa02015', ' (Spain)', 'TIFF', '\n \n', ''], 'Running time': ['100 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', ''], 'Budget': ['€4 million', '', ''], 'Box office': ['€11.8 million', '', '']}"
3653,Regression,2015,42 Reviews,14,"5,000+ Ratings",22,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('hbo-max', 'Subscription'), ('itunes', 'Rent/buy')]",2015, Mystery & thriller/Crime, 1h 46m,"{'Directed by': ['Alejandro Amenábar', '', ''], 'Written by': ['Alejandro Amenábar', '', ''], 'Produced by': ['Fernando Bovaira', 'Alejandro Amenábar', 'Christina Piovesan', '\n \n', ''], 'Starring': ['Ethan Hawke', 'Emma Watson', 'David Thewlis', 'Lothaire Bluteau', 'Dale Dickey', 'David Dencik', 'Peter MacNeill', 'Devon Bostick', 'Aaron Ashmore', '\n \n', ''], 'Cinematography': ['Daniel Aranyó', '', ''], 'Edited by': ['Carolina Martínez Urbina', 'Geoff Ashenhurst', '\n \n', ''], 'Music by': ['Roque Baños', '', ''], 'Production companies': ['', '', 'Mod Entertainment', 'Mod Producciones', 'Himenóptero', 'First Generation Films', 'Telefónica Studios', 'Regression A.I.E.', 'I.C.A.A.', 'FilmNation Entertainment', 'Telefilm Canada', 'Mediaset España', 'Canal+'], 'Distributed by': [' (Spain)', ' (Canada)', 'The Weinstein Company', 'Elevation Pictures', '\n \n', ''], 'Release dates': ['September\xa018,\xa02015', ' (', ')', 'October\xa02,\xa02015', ' (Spain)', 'October\xa030,\xa02015', ' (Canada)', 'SSIFF', '\n \n', ''], 'Running time': ['106 minutes', '', ''], 'Countries': ['Canada', 'Spain', '\n \n', ''], 'Language': ['English', '', ''], 'Budget': ['$15 million', '', ''], 'Box office': ['$17.7 million', '', '']}"
3654,The Apostate,2015,1 Reviews,,50+ Ratings,17,,1999, Drama, 1h 34m,"{'Directed by': ['Federico Veiroj', '', ''], 'Written by': ['Federico Veiroj', '', ''], 'Starring': ['Álvaro Ogalla', '', ''], 'Release dates': ['11\xa0September\xa02015', ' (', ')', '2\xa0October\xa02015', ' (Spain)', 'TIFF', '\n \n', ''], 'Countries': ['Uruguay', 'Spain', '', ''], 'Language': ['Spanish', '', '']}"
3655,Endless Night,2015,12 Reviews,8,Fewer than 50 Ratings,36,,2015, Drama, 1h 58m,"{'Directed by': ['Isabel Coixet', '', ''], 'Written by': ['Miguel Barros', '', ''], 'Produced by': ['Jaume Roures', '', ''], 'Starring': ['Juliette Binoche', 'Rinko Kikuchi', 'Gabriel Byrne', '', ''], 'Cinematography': ['Jean-Claude Larrieu', '', ''], 'Edited by': ['Elena Ruiz', '', ''], 'Music by': ['Lucas Vidal', '', ''], 'Production companies': ['Mer Film New Art Productions Noodles Production One More Movie', ''], 'Distributed by': ['Filmax ', ',', '', ''], 'Release dates': ['5\xa0February\xa02015', ' (', ')', '30\xa0October\xa02015', ' (Spain)', 'Berlin', '\n \n', ''], 'Running time': ['118 minutes', '', ''], 'Countries': ['Spain', 'France', 'Bulgaria', '', ''], 'Language': ['English', '', '']}"
3656,The King of Havana,2015,0 Reviews,,0 Ratings,,"[('itunes', 'Rent/buy')]",2015, Drama, 2h 5m,"{'Spanish': ['', ''], 'Directed by': ['Agustí Villaronga', '', ''], 'Screenplay by': ['Agustí Villaronga', '', ''], 'Based on': ['by ', 'Pedro Juan Gutiérrez', '', ''], 'Produced by': ['Luisa Matienzo', '', ''], 'Starring': ['Maykol David Tortolo', 'Yordanka Ariosa', 'Héctor Medina', '', ''], 'Cinematography': ['Josep Mª Civit', '', ''], 'Edited by': ['Raúl Román', '', ''], 'Music by': ['Joan Valent', '', ''], 'Production companies': ['', '', 'Pandora Cinema', 'Tusitala', 'El Rey de La Habana AIE', 'Esencia Films'], 'Distributed by': [' (', ')', 'Filmax', '', ''], 'Release dates': ['23\xa0September\xa02015', ' (', ')', '16\xa0October\xa02015', ' (Spain)', 'San Sebastián', '\n \n', ''], 'Countries': ['Spain', 'Dominican Republic', '', ''], 'Language': ['Spanish', '', '']}"
3657,It's Now or Never,2015,0 Reviews,,0 Ratings,,,2015, Documentary/Biography, 24m,"{'Spanish': ['', ''], 'Directed by': ['María Ripoll', '', ''], 'Produced by': ['Francisco Ramos', 'Eneko Gutiérrez', 'Mercedes Gamero', '', ''], 'Starring': ['Joaquín Núñez', 'Marcel Borràs', 'María Valverde', 'Dani Rovira', 'Clara Lago', 'Jordi Sánchez', 'Gracia Olayo', 'Yolanda Ramos', 'Melody', 'Alicia Rubio', 'Carlos Cuevas', '', ''], 'Production companies': ['Zeta Cinema', 'Atresmedia Cine'], 'Release dates': ['16\xa0June\xa02015', ' (Madrid)', '19\xa0June\xa02015', '\n \n', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', ''], 'Budget': [' (€2.9 million)', '', ''], 'Box office': [' (€8.4 million)', '', '']}"
3658,Retribution,2015,8 Reviews,100,100+ Ratings,57,,2015, Mystery & thriller, 1h 35m,"{'Spanish': ['', ''], 'Directed by': ['Dani de la Torre', '', ''], 'Written by': ['Alberto Marini', '', ''], 'Starring': ['Marco Sanz', 'Ricardo de Barreiro', 'Antonio Mourelos', 'María Mera', 'Luis Tosar', 'Javier Gutiérrez', 'Elvira Mínguez', 'Fernando Cayo', 'Paula del Río', 'Luis Zahera', 'Goya Toledo', '\n \n', ''], 'Cinematography': ['Josu Inchaustegui', '', ''], 'Edited by': ['Jorge Coira', '', ''], 'Music by': ['Manuel Riveiro', '', ''], 'Production companies': ['', '', 'Vaca Films', 'La Ferme! Productions', 'Atresmedia Cine'], 'Distributed by': ['Warner Bros. Spain', '', ''], 'Release dates': ['2\xa0September\xa02015', ' (', ')', '25\xa0September\xa02015', ' (Spain)', 'Venice', '\n \n', ''], 'Running time': ['96 minutes', '', ''], 'Countries': ['Spain', 'France', '\n \n', ''], 'Language': ['Spanish', '', ''], 'Box office': ['$3,532,967', '', '']}"
3659,Truman,2015,8 Reviews,88,500+ Ratings,74,,1995, Biography/Drama, 2h 30m,"{'Directed by': ['Cesc Gay', '', ''], 'Written by': ['Tomàs Aragay', 'Cesc Gay', '\n \n', ''], 'Produced by': ['Marta Esteban', 'Diego Dubcovsky', '', ''], 'Starring': ['Ricardo Darín', 'Javier Cámara', 'Dolores Fonzi', '\n \n', ''], 'Cinematography': ['Andreu Rebés', '', ''], 'Edited by': ['Pablo Barbieri', '', ''], 'Music by': ['Nico Cota', 'Toti Soler', '\n \n', ''], 'Production companies': ['', '', 'Imposible Films', 'BD Cine', 'Trumanfilm AIE', 'K&S Films', 'Telefé'], 'Distributed by': [' ', ' ', 'Filmax', 'Buena Vista International', '\n \n', ''], 'Release dates': ['12\xa0September\xa02015', ' (', ')', '24\xa0September\xa02015', ' (Argentina)', '30\xa0October\xa02015', ' (Spain)', 'TIFF', '\n \n', ''], 'Running time': ['109 minutes', '', ''], 'Countries': ['Spain', 'Argentina', '\n \n', ''], 'Languages': ['Spanish', 'English', '\n \n', ''], 'Budget': ['$3.8 million', '', ''], 'Box office': ['$9 million', '', '']}"
3660,Veteran,2015,10 Reviews,90,500+ Ratings,79,"[('netflix', 'Subscription'), ('amazon-prime-video-us', 'Rent/buy')]",2015, Action/Comedy, 2h 4m,"{'Directed by': ['Ryoo Seung-wan', '', ''], 'Written by': ['Ryoo Seung-wan', '', ''], 'Produced by': ['Kang Hye-jung ', ' Kim Jung-min', '', ''], 'Starring': [' ', ' ', ' ', ' ', '  ', ' ', 'Hwang Jung-min', 'Yoo Ah-in', 'Yoo Hae-jin', 'Oh Dal-su', '', ''], 'Cinematography': ['Choi Young-hwan', '', ''], 'Edited by': [' ', ' Kim Jae-bum', 'Kim Sang-bum', '', ''], 'Music by': ['Bang Jun-seok', '', ''], 'Distributed by': ['CJ Entertainment', '', ''], 'Release date': ['August\xa05,\xa02015', '\n \n', ''], 'Running time': ['123 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Budget': ['', ''], 'Box office': ['', '']}"
3661,The Corpse of Anna Fritz,2015,9 Reviews,67,250+ Ratings,39,,2015, Drama/Mystery & thriller, 1h 16m,"{'Spanish': ['', ''], 'Directed by': ['Hèctor Hernández Vicens', '', ''], 'Written by': ['Isaac P. Creus', 'Hèctor Hernández Vicens\n \n', ''], 'Starring': ['Cristian Valencia', 'Bernat Saumell', 'Albert Carbó', 'Alba Ribas', '', ''], 'Edited by': ['Alberto Bernad', '', ''], 'Music by': ['Tolo Prats', '', ''], 'Release dates': ['15\xa0March\xa02015', ' (', ')', '30\xa0October\xa02015', ' (Spain)', 'SXSW', '\n \n', ''], 'Running time': ['76 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', ''], 'Box office': ['€360,000', '', '']}"
3662,Isla bonita,2015,0 Reviews,,0 Ratings,,,2015, Drama, 1h 41m,"{'Directed by': ['Fernando Colomo', '', ''], 'Screenplay by': ['Fernando Colomo', 'Miguel A. Furones', 'Olivia Delcán', '', ''], 'Starring': ['Olivia Delcán', 'Fernando Colomo', 'Nuria Román', 'Miguel Ángel Furones', 'Lilian Caro', 'Tim Bettermann', 'Lluís Marqués', '\n \n', ''], 'Cinematography': ['Alfonso Sanz', '', ''], 'Edited by': ['María Lara', '', ''], 'Music by': ['Fernando Furones', '', ''], 'Production companies': ['', '', 'Comba Films', 'La Perifèrica Produccions'], 'Distributed by': ['Surtsey Films', '', ''], 'Release dates': ['21\xa0September\xa02015', ' (', ')', '6\xa0November\xa02015', ' (Spain)', 'Zinemaldia', '\n \n', ''], 'Country': ['Spain', '', ''], 'Languages': ['Spanish', 'English', 'Menorquin', '', '']}"
3663,An Autumn Without Berlin,2015,0 Reviews,,Fewer than 50 Ratings,57,,2015, Drama, 1h 35m,"{'': ['', ''], 'Directed by': ['Lara Izagirre', '', ''], 'Written by': ['Lara Izagirre', '', ''], 'Produced by': ['Gorka Izagirre', '', ''], 'Starring': ['Irene Escolar', 'Tamar Novas', 'Ramón Barea', '', ''], 'Cinematography': ['Gaizka Bourgeaud', '', ''], 'Edited by': ['Ibai Elortza', '', ''], 'Music by': ['Joseba Brit', '', ''], 'Release dates': ['22\xa0September\xa02015', ' (', ')', '13\xa0November\xa02015', ' (Spain)', 'SSIFF', '\n \n', ''], 'Running time': ['95 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', '']}"
3664,Yoko and His Friends,2015,0 Reviews,,0 Ratings,,,2015, Kids & family/Adventure, 1h 18m,"{'': ['', ''], 'Directed by': ['Juanjo Elordi', 'Rishat Gilmetdinov (', ')', 'Iñigo Berasategui', 'Alexey Medvedev', 'ru', '\n \n', ''], 'Written by': ['Edorta Barruetabeña', 'Craig Carlisle', 'P. Kevin Strader', 'Andy Yerkes', '\n \n', ''], 'Based on': ['', ''], 'Produced by': ['Juanjo Elordi', 'Elena Gozalo', 'Alexander Mirgorodskiy', 'Yuri Moskvin', 'Vladimir Nikolaev', 'Ricardo Ramón', 'Iurre Tellería', '\n \n', ''], 'Starring': ['Eva Ojanguren', 'Jaione Intxausti', 'Arantxa Moñux', 'Kiko Jáuregui', 'Josu Mitxelena', 'Aintzane Krujeiras', 'Loinaz Jáuregui', 'Tyler Bunch', '\n \n', ''], 'Edited by': ['Alexandria Aleksashina', 'Andrey Galat', 'Alatzne Portu', 'Maialen Sarasua Oliden', '\n \n', ''], 'Music by': ['Michael Richard Plowman', '', ''], 'Animation by': ['Ricardo Ramón', 'Elena Prozorova', 'Nicholas Lobov', '\n \n', ''], 'Production companies': ['', '', 'Dibulitoon Studio (', ')', 'Somuga', 'Yokoren Kluba', 'es', 'Wizart Animation'], 'Distributed by': ['Barton Films', '\n \n', ''], 'Release date': ['13\xa0September\xa02015', '\n \n', ''], 'Running time': ['80 minutes', '', ''], 'Countries': ['Spain', 'Russia', '\n \n', ''], 'Languages': ['Español', 'Euskara', 'Russian', '\n \n', '']}"
3665,Food and Shelter,2015,0 Reviews,,0 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2015, Drama, 1h 30m,"{'Spanish': ['', ''], 'Directed by': ['Juan Miguel del Castillo', '', ''], 'Written by': ['Juan Miguel del Castillo', '\n \n', ''], 'Produced by': ['German García', 'Alfred Santapau', '\n \n', ''], 'Starring': ['Mercedes Hoyos', 'Gaspar Campuzano', 'Montse Torrent', 'Natalia Roig', 'Manuel Tallafé', 'Jaime López', 'Natalia de Molina', 'Mariana Cordero', '\n \n', ''], 'Cinematography': ['Manuel Montero', '', ''], 'Edited by': ['Juan Miguel del Castillo', '', ''], 'Music by': ['Daniel Quiñones', '', ''], 'Production company': ['Diversa Audiovisual', ''], 'Release dates': ['23\xa0April\xa02015', ' (', ')', '4\xa0December\xa02015', ' (Spain)', 'Málaga', '\n \n', ''], 'Running time': ['89 minutes', '', ''], 'Country': ['Spain', '', ''], 'Language': ['Spanish', '', '']}"
3666,Assassination,2015,12 Reviews,83,"1,000+ Ratings",84,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2015, Adventure/History, 2h 20m,"{'Directed by': ['Choi Dong-hoon', '', ''], 'Written by': ['Choi Dong-hoon ', ' Lee Ki-cheol', '', ''], 'Produced by': ['Ahn Soo-hyun ', ' Choi Dong-hoon', '', ''], 'Starring': [' ', ' ', ' ', ' ', 'Jun Ji-hyun', 'Lee Jung-jae', 'Ha Jung-woo', '', ''], 'Cinematography': ['Kim Woo-hyung', '', ''], 'Edited by': ['Shin Min-kyung', '', ''], 'Music by': ['Jang Young-gyu ', ' ', 'Dalpalan', '', ''], 'Production company': ['Caper Film', ''], 'Distributed by': ['Showbox', '', ''], 'Release date': ['July\xa022,\xa02015', '\n \n', ''], 'Running time': ['140 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Languages': ['Korean', 'Japanese', 'Mandarin', '', ''], 'Budget': ['', ''], 'Box office': ['', '']}"
3667,Inside Men,2015,4 Reviews,,50+ Ratings,80,"[('amazon-prime-video-us', 'Rent/buy')]",2015, Crime/Drama, 2h 10m,"{'': ['', ''], 'Directed by': ['Woo Min-ho', '', ''], 'Written by': ['Woo Min-ho', '', ''], 'Based on': ['by ', 'Yoon Tae-ho', '', ''], 'Produced by': ['Lee Min-su', '', ''], 'Starring': [' ', ' ', ' ', ' ', 'Lee Byung-hun', 'Cho Seung-woo', 'Baek Yoon-sik', '', ''], 'Cinematography': ['Go Nak-seon', '', ''], 'Edited by': [' ', ' Kim Jae-bum', 'Kim Sang-bum', '', ''], 'Distributed by': ['Showbox', '', ''], 'Release date': ['November\xa019,\xa02015', '\n \n', ''], 'Running time': ['130 minutes ', ' 180 minutes (', ')', ""director's cut"", '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Box office': ['', '']}"
3668,The Throne,2015,3 Reviews,,50+ Ratings,77,"[('amazon-prime-video-us', 'Rent/buy')]",2015, Drama, 2h 5m,"{'': ['', ''], 'Directed by': ['Lee Joon-ik', '', ''], 'Written by': ['Cho Chul-hyun', 'Oh Seung-hyeon', 'Lee Song-won', '\n \n', ''], 'Produced by': ['Oh Seung-hyeon', '', ''], 'Starring': ['Song Kang-ho', 'Yoo Ah-in', 'Moon Geun-young', 'Kim Hae-sook', 'Park Won-sang', 'Jeon Hye-jin', 'Park So-dam', 'Jin Ji-hee', 'Seo Yea-ji', 'Lee Dae-yeon', '\n \n', ''], 'Cinematography': ['Kim Tae-gyeong', '', ''], 'Edited by': ['Kim Jae-bum', 'Kim Sang-bum', '\n \n', ''], 'Music by': ['Bang Jun-seok', '', ''], 'Distributed by': ['/Mediaplex', 'Showbox', '', ''], 'Release date': ['16\xa0September\xa02015', '\n \n', ''], 'Running time': ['125 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Budget': ['', ''], 'Box office': ['', '']}"
3669,The Priests,2015,3 Reviews,,50+ Ratings,55,,2015, Crime/Drama, 1h 48m,"{'': ['', ''], 'Directed by': ['Jang Jae-hyun', '', ''], 'Written by': ['Jang Jae-hyun', '', ''], 'Based on': ['by Jang Jae-hyun', '', ''], 'Produced by': ['Baek Ji-sun ', ' Song Dae-chan ', ' Oh Hyo-jin ', ' Lee Yoo-jin', '', ''], 'Starring': [' ', ' ', 'Kim Yoon-seok', 'Gang Dong-won', '', ''], 'Cinematography': ['Go Nak-sun', '', ''], 'Edited by': ['Shin Min-kyung', '', ''], 'Music by': ['Kim Tae-seong', '', ''], 'Production company': ['Zip Cinema', ''], 'Distributed by': ['CJ Entertainment', '', ''], 'Release date': ['November\xa05,\xa02015', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Box office': ['', '']}"
3670,The Himalayas,2015,7 Reviews,43,500+ Ratings,56,,2015, Drama, 2h 5m,"{'Directed by': ['Lee Seok-hoon', '', ''], 'Written by': ['Soo Oh', 'Min Ji-eun', '', ''], 'Screenplay by': ['Soo Oh', 'Min Ji-eun', '', ''], 'Story by': ['Lee Jong-suk', 'Park Soo-jin', 'Lee Seok-hoon', 'Yoon Je-kyoon', 'Kang Dae-kyu', '', ''], 'Produced by': ['Joo Seung-hwan', 'Yoon Je-kyoon', '', ''], 'Starring': ['Hwang Jung-min', 'Jung Woo', 'Jo Sung-ha', '', ''], 'Edited by': ['Jin Lee', '', ''], 'Music by': ['Sang-Joon Hwang', '', ''], 'Production company': ['JK Film', ''], 'Distributed by': ['CJ E&M Film Division', '', ''], 'Release date': ['December\xa016,\xa02015', ' (South Korea)', '\n \n', ''], 'Running time': ['124 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Box office': ['', '']}"
3671,Northern Limit Line,2015,3 Reviews,,250+ Ratings,72,"[('vudu', 'Rent/buy'), ('amazon-prime-video-us', 'Subscription'), ('itunes', 'Rent/buy')]",2015, War/History, 2h 10m,"{'': ['', ''], 'Directed by': ['Kim Hak-soon', '', ''], 'Written by': ['Kim Hak-soon', '', ''], 'Produced by': ['Jung Moon-goo', '', ''], 'Starring': ['Kim Mu-yeol', 'Jin Goo', 'Lee Hyun-woo', '', ''], 'Cinematography': ['Kim Hyung-koo', '', ''], 'Edited by': ['Steve M. Choe', '', ''], 'Music by': ['Mok Young-jin', '', ''], 'Production company': ['Rosetta Cinema', ''], 'Distributed by': ['Next Entertainment World', '', ''], 'Release date': ['June\xa024,\xa02015', '\n \n', ''], 'Running time': ['130 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Budget': ['', ''], 'Box office': ['', '']}"
3672,Detective K: Secret of the Lost Island,2015,0 Reviews,,0 Ratings,,,2015, Comedy/Adventure, 2h 5m,"{'': ['', ''], 'Directed by': ['Kim Sok-yun', '', ''], 'Written by': ['Lee Nam-kyu ', ' Kim Su-jin', '', ''], 'Produced by': [' ', ' Lee Sun-mi', 'Kim Jho Gwangsoo', '', ''], 'Starring': [' ', ' ', ' ', ' ', 'Kim Myung-min', 'Oh Dal-su', 'Lee Yeon-hee', '', ''], 'Cinematography': ['Jang Nam-cheol', '', ''], 'Edited by': ['Im Sun-kyong', '', ''], 'Music by': ['Kim Han-jo', '', ''], 'Production company': ['Generation Blue Films', ''], 'Distributed by': ['/Mediaplex', 'Showbox', '', ''], 'Release date': ['February\xa011,\xa02015', '\n \n', ''], 'Running time': ['124 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Languages': ['Korean ', ' Japanese', '', ''], 'Box office': ['', '']}"
3673,The Classified File,2015,0 Reviews,,Fewer than 50 Ratings,55,"[('amazon-prime-video-us', 'Rent/buy')]",2015, Crime/Drama, 1h 48m,"{'Directed by': ['Kwak Kyung-taek', '', ''], 'Written by': ['Han Dae-deok ', ' Kwak Kyung-taek', '', ''], 'Story by': ['Gong Gil-yong', '', ''], 'Produced by': ['Yoo Joo-young ', ' Park Young-jin', '', ''], 'Starring': [' ', ' ', 'Kim Yoon-seok', 'Yoo Hae-jin', '', ''], 'Cinematography': ['Ki Se-hoon', '', ''], 'Edited by': ['Kim Chang-ju', '', ''], 'Music by': ['Kim Hyeong-seok', '', ''], 'Production company': ['JCon Company', ''], 'Distributed by': ['Showbox', '', ''], 'Release date': ['June\xa018,\xa02015', '\n \n', ''], 'Running time': ['108 minutes', '', ''], 'Country': ['South Korea', '', ''], 'Language': ['Korean', '', ''], 'Budget': ['', ''], 'Box office': ['', '']}"
3674,Seventh Son,2015,122 Reviews,12,"50,000+ Ratings",34,"[('vudu', 'Rent/buy'), ('netflix', 'Subscription'), ('amazon-prime-video-us', 'Rent/buy'), ('itunes', 'Rent/buy')]",2014, Fantasy/Adventure, 1h 42m,"{'Directed by': ['Sergei Bodrov', '', ''], 'Screenplay by': ['Charles Leavitt', 'Steven Knight', '\n \n', ''], 'Story by': ['Matt Greenberg', '', ''], 'Based on': ['by ', 'Joseph Delaney', '', ''], 'Produced by': ['Basil Iwanyk', 'Thomas Tull', 'Lionel Wigram', '\n \n', ''], 'Starring': ['Jeff Bridges', 'Ben Barnes', 'Alicia Vikander', 'Kit Harington', 'Olivia Williams', 'Antje Traue', 'Djimon Hounsou', 'Julianne Moore', '\n \n', ''], 'Cinematography': ['Newton Thomas Sigel', '', ''], 'Edited by': ['Jim Page', 'Paul Rubell', 'Michael Kahn', '\n \n', ''], 'Music by': ['Marco Beltrami', '', ''], 'Production companies': ['', '', 'Outlaw Sinema', 'Pendle Mountain Productions', 'Legendary Pictures', 'Moving Picture Company', 'Thunder Road Pictures', 'China Film Group'], 'Distributed by': ['Universal Pictures', '', ''], 'Release dates': ['December\xa017,\xa02014', ' (France)', 'February\xa06,\xa02015', ' (United States)', '\n \n', ''], 'Running time': ['102 minutes', '', ''], 'Country': ['United States', '', ''], 'Language': ['English', '', ''], 'Budget': ['$95–110 million', '', ''], 'Box office': ['$114.2 million', '', '']}"
3675,The Snow Queen 2,2015,0 Reviews,,Fewer than 50 Ratings,,,2014, Kids & family/Adventure, 1h 18m,"{'Directed by': ['Aleksey Tsitsilin', '', ''], 'Written by': ['Aleksey Tsitsilin', 'Vladimir Nikolaev', 'Roman Nepomnyashchiy (', ')', 'Alexey Zamyslov', 'ru', '\n \n', ''], 'Produced by': ['Yuri Moskvin', 'Vladimir Nikolaev (', ')', 'Diana Yurinova', 'Timur Bekmambetov', 'ru', '\n \n', ''], 'Starring': ['Valeryia Nikolaeva', 'Olga Zubkova (', ')', 'Mikhail Tikhonov (', ')', 'Galina Tyunina (', ')', 'Anna Khilkevich (', ')', 'Ramilya Iskander (', ')', 'Ivan Okhlobystin', 'Garik Kharlamov', 'Nyusha', 'Fyodor Dobronravov', 'ru', 'en', 'ru', 'ru', 'ru', 'Sharlto Copley', 'Sean Bean', 'Bella Thorne', 'Isabelle Fuhrman', 'Dee Bradley Baker', 'Bill Chott', '\n \n', ''], 'Edited by': ['Aleksey Tsitsilin', '', ''], 'Music by': ['Mark Willott', '', ''], 'Production companies': ['', '', 'Wizart Animation', 'Bazelevs Company'], 'Distributed by': ['Bazelevs Distribution', '', ''], 'Release dates': ['12\xa0December\xa02014', ' (UK)', '1\xa0January\xa02015', ' (Russia)', '\n \n', ''], 'Running time': ['76 minutes', '', ''], 'Country': ['Russia', '', ''], 'Languages': ['Russian', 'English', '\n \n', ''], 'Budget': ['$6.5 million', '', ''], 'Box office': ['$15.6 million', '', '']}"
3676,Battle for Sevastopol,2015,0 Reviews,,Fewer than 50 Ratings,,"[('amazon-prime-video-us', 'Rent/buy')]",2015, History/Drama, 1h 50m,"{'Directed by': ['Sergey Mokritskiy', '', ''], 'Written by': ['Maksim Budarin', 'Maksim Dankevich', 'Leonid Korin', 'Egor Olesov', '', ''], 'Produced by': ['Natalia Mokritskaya', 'Egor Olesov', '', ''], 'Starring': ['Oleg Vasilkov', 'Vitaliy Linetskiy', 'Yulia Peresild', 'Joan Blackham', 'Yevgeny Tsyganov', '', ''], 'Cinematography': [""Yury Korol'"", '', ''], 'Music by': ['Evgeniy Galperin', '', ''], 'Distributed by': ['20th Century Fox', '', ''], 'Release date': ['April\xa02,\xa02015', ' (Russia)', '\n \n', ''], 'Running time': ['122 minutes', '', ''], 'Countries': ['Russia', 'Ukraine', '', ''], 'Languages': [' (dubbed)', ' (dubbed)', ' (dubbed)', 'Russian', 'Ukrainian', 'English', 'Spanish', '', '']}"
